gene_symbol,log2FoldChange,pvalue
Rps25,0.005760221,0.99999707
Gm7452,-0.074856535,0.99999707
Rnf139,0.214340732,0.190209765
Gm43766,-0.007493413,0.99999707
Dsn1,-0.03455618,0.99999707
Hmbs,0.041716917,0.99999707
Pdcd2,-0.042188609,0.99999707
Sema4g,0.013544545,0.99999707
Nudt8,0.111955698,0.692271177
Lor,-0.010029337,0.99999707
Gm17415,0.030917733,0.99999707
Fam212b,0.010453916,0.99999707
Cse1l,0.048701089,0.99999707
4833403J16Rik,0.032811518,0.99999707
Nkapl,-0.062577887,0.99999707
Gm9144,0.062895459,0.99999707
Erbb2,-0.030905888,0.99999707
Tsacc,0.086341103,0.99999707
Cfh,0.081154354,0.99999707
Ptpn11,0.063849467,0.99999707
Gm2000,-0.035511454,0.99999707
Glyatl3,-0.104171327,0.978857033
Tpt1,0.064142346,0.99999707
Tfcp2,-0.023800976,0.99999707
Wbp11,0.026436795,0.99999707
Igkv12-41,-0.020137131,0.99999707
Tiam2,-0.027134644,0.99999707
Gm14094,-0.035640376,0.99999707
Gm6216,0.024375302,0.99999707
Rnf149,-0.014320234,0.99999707
Zfp330,-0.024261916,0.99999707
Gm7189,-0.015685893,0.99999707
Pon2,0.292202663,0.049146984
Mzt2,-0.07000264,0.99999707
Cenpm,-0.049220909,0.99999707
Sox5os3,-0.074447307,0.99999707
Gm22200,0.062656252,0.99999707
Amigo3,0.060257302,0.99999707
4931440P22Rik,0.056452586,0.99999707
Pou3f1,-0.082526706,0.99999707
Gm19040,-0.054376204,0.99999707
Ovol2,-0.043358784,0.99999707
Gm14813,0.099274141,0.99999707
A130010J15Rik,0.043865015,0.99999707
Cpsf2,0.013855493,0.99999707
RP24-173L14.4,0.015048745,0.99999707
Ppp1r15b,-0.003188072,0.99999707
Dok7,-0.116381354,0.889897753
Senp8,0.005281276,0.99999707
Abhd1,0.00873179,0.99999707
Adam1a,-0.082720568,0.99999707
BC030867,-0.019878719,0.99999707
Gm20257,0.026286168,0.99999707
Brd7,-0.222567944,0.295938434
Mon1b,0.015745857,0.99999707
Zfp667,-0.003227084,0.99999707
Gm44419,-0.081785926,0.99999707
A530072M11Rik,0.042380088,0.99999707
Gm24873,0.044370313,0.99999707
RP23-118I16.1,0.182100798,0.328772726
1010001B22Rik,0.138577384,0.838886254
Lbhd1,0.026487916,0.99999707
Bst2,0.042019334,0.99999707
Gm11989,0.001737421,0.99999707
Gm15223,-0.029745689,0.99999707
Tmem8b,-0.014509405,0.99999707
Lhx6,-0.095541114,0.99999707
Mxra7,0.061933301,0.99999707
44992,0.01963424,0.99999707
Scyl3,-0.084063022,0.99999707
Clcn4,-0.088553422,0.99999707
Il18bp,-0.01330407,0.99999707
A930004D18Rik,-0.097508271,0.99999707
Gm10461,0.001996432,0.99999707
Hmgcll1,0.078099205,0.99999707
Klkb1,-0.010195298,0.99999707
Hdgfrp2,0.072502184,0.99999707
Lemd3,-0.058795585,0.99999707
N4bp2l2,-0.093099582,0.99999707
Fhl2,-0.001754633,0.99999707
Gm16933,0.050582772,0.99999707
Tceb2,-0.052921899,0.99999707
Gm15785,-0.158996051,0.805043529
St8sia6,0.082826712,0.99999707
Gm4525,0.091629192,0.99999707
Gm11511,0.059417057,0.99999707
Cars,-0.037617233,0.99999707
Haghl,0.116214604,0.838886254
RP23-256D10.1,0.070972655,0.99999707
Col5a3,-0.091456666,0.99999707
Gm13559,-0.070582419,0.99999707
Hebp1,0.030141981,0.99999707
Tmem201,-0.001174213,0.99999707
D930007J09Rik,0.041871407,0.99999707
Gm43769,-0.081643252,0.99999707
Gm5181,0.079182577,0.99999707
Gng2,0.122436146,0.99999707
Gm16198,-0.065002468,0.99999707
Tm7sf3,-0.000239978,0.99999707
Mrpl17,-0.023066416,0.99999707
Gm26682,-0.063144891,0.99999707
Ccdc74a,0.024327255,0.99999707
Lmln,0.026420442,0.99999707
Gpcpd1,-0.038863196,0.99999707
Gm43361,0.021829019,0.99999707
Rasip1,0.034768521,0.99999707
